ID_Pas,Codi_Pas,M2_Pas,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Longitud,Latitud,X_ETRS89,Y_ETRS89,Data_Alta,Data_Baixa
8151697,255000000_Pastilla,4.57,1,Ciutat Vella,1,el Raval,2.1701094,41.3803587,430607.393,4581314.093,2000/01/01,
8156154,255000000_Pastilla,22.59,1,Ciutat Vella,1,el Raval,2.1705152,41.3778243,430638.634,4581032.432,2000/01/01,2009/08/31
8160720,255128000_Taco,2.52,1,Ciutat Vella,1,el Raval,2.1752377,41.3762364,431031.845,4580852.313,2000/01/01,2013/03/14
9062917,255128000_Taco,3.00,1,Ciutat Vella,1,el Raval,2.1705053,41.3845593,430644.962,4581780.168,2000/01/01,2017/10/19
8713333,255000000_Pastilla,10.00,1,Ciutat Vella,1,el Raval,2.1738820,41.3756657,430917.876,4580790.058,2013/03/07,
8593395,255000000_Pastilla,9.00,1,Ciutat Vella,1,el Raval,2.1657712,41.3850512,430249.655,4581838.488,2009/07/09,2012/01/04
8593312,255000000_Pastilla,10.08,1,Ciutat Vella,1,el Raval,2.1663714,41.3846016,430299.366,4581788.126,2009/07/09,2018/03/19
8575424,255000000_Pastilla,10.17,1,Ciutat Vella,1,el Raval,2.1641661,41.3841506,430114.494,4581739.870,2010/07/16,2015/11/04
8563158,255000000_Pastilla,9.00,1,Ciutat Vella,1,el Raval,2.1657527,41.3850505,430248.102,4581838.505,2010/02/03,
8558929,255000000_Pastilla,4.16,1,Ciutat Vella,1,el Raval,2.1647640,41.3776343,430157.500,4581015.940,2010/07/02,2016/08/21
8149215,255000000_Pastilla,9.87,1,Ciutat Vella,1,el Raval,2.1710394,41.3836439,430688.644,4581678.114,2000/01/01,2017/10/19
8883492,000000255_Ciclista,3.25,1,Ciutat Vella,1,el Raval,2.1718049,41.3748981,430743.379,4580706.508,2015/04/01,
8151361,255000000_Pastilla,6.05,1,Ciutat Vella,1,el Raval,2.1638966,41.3803737,430087.910,4581320.723,2000/01/01,
8883567,000000255_Ciclista,7.41,1,Ciutat Vella,1,el Raval,2.1733804,41.3747556,430874.972,4580689.413,2015/04/01,
8151364,255000000_Pastilla,4.58,1,Ciutat Vella,1,el Raval,2.1640227,41.3804127,430098.497,4581324.990,2000/01/01,
8160768,255128000_Taco,2.00,1,Ciutat Vella,1,el Raval,2.1728290,41.3789637,430833.315,4581157.034,2000/01/01,2016/08/21
8151367,255000000_Pastilla,4.58,1,Ciutat Vella,1,el Raval,2.1640817,41.3803847,430103.400,4581321.857,2000/01/01,
8160840,255128000_Taco,3.00,1,Ciutat Vella,1,el Raval,2.1761974,41.3772370,431113.158,4580962.648,2000/01/01,
8530094,255000000_Pastilla,6.07,1,Ciutat Vella,1,el Raval,2.1638567,41.3789587,430083.060,4581163.710,2009/06/04,2016/08/21
8160880,255128000_Taco,6.64,1,Ciutat Vella,1,el Raval,2.1761785,41.3770720,431111.401,4580944.346,2000/01/01,2009/08/31
8160894,255128000_Taco,3.97,1,Ciutat Vella,1,el Raval,2.1763562,41.3770229,431126.205,4580938.803,2000/01/01,
8160910,255128000_Taco,6.34,1,Ciutat Vella,1,el Raval,2.1755270,41.3763795,431056.200,4580868.048,2000/01/01,
8160939,255128000_Taco,2.50,1,Ciutat Vella,1,el Raval,2.1756281,41.3762300,431064.495,4580851.305,2000/01/01,
8160944,255128000_Taco,2.50,1,Ciutat Vella,1,el Raval,2.1756068,41.3761659,431062.646,4580844.250,2000/01/01,
8160954,255128000_Taco,5.68,1,Ciutat Vella,1,el Raval,2.1753292,41.3761368,431039.402,4580841.195,2000/01/01,
8527683,255000000_Pastilla,15.00,1,Ciutat Vella,1,el Raval,2.1683343,41.3821682,430460.892,4581516.447,2010/02/22,
8504359,255000000_Pastilla,4.50,1,Ciutat Vella,1,el Raval,2.1697362,41.3793366,430575.097,4581200.880,2009/07/08,2018/03/25
8151370,255000000_Pastilla,10.04,1,Ciutat Vella,1,el Raval,2.1646047,41.3803765,430147.120,4581320.494,2000/01/01,2018/03/25
8151375,255000000_Pastilla,8.14,1,Ciutat Vella,1,el Raval,2.1646792,41.3804173,430153.390,4581324.980,2000/01/01,2018/03/25
8447860,255000000_Pastilla,4.50,1,Ciutat Vella,1,el Raval,2.1671024,41.3812696,430356.920,4581417.587,2009/03/12,
8161414,255000000_Pastilla,8.20,1,Ciutat Vella,1,el Raval,2.1734856,41.3765184,430885.630,4580885.074,2000/01/01,
8161400,255000000_Pastilla,21.49,1,Ciutat Vella,1,el Raval,2.1740605,41.3765032,430933.688,4580882.951,2000/01/01,2009/08/31
8161386,255000000_Pastilla,23.97,1,Ciutat Vella,1,el Raval,2.1734290,41.3766278,430881.013,4580897.224,2000/01/01,2009/08/31
8161087,255128000_Taco,7.86,1,Ciutat Vella,1,el Raval,2.1772680,41.3758696,431201.244,4580810.035,2000/01/01,
8161381,255000000_Pastilla,8.80,1,Ciutat Vella,1,el Raval,2.1725607,41.3774520,430809.280,4580989.434,2000/01/01,
8161291,255128000_Taco,6.97,1,Ciutat Vella,1,el Raval,2.1774818,41.3759431,431219.197,4580817.981,2000/01/01,
8161131,255000000_Pastilla,25.04,1,Ciutat Vella,1,el Raval,2.1739375,41.3751534,430921.978,4580733.185,2000/01/01,
8161121,255000000_Pastilla,19.95,1,Ciutat Vella,1,el Raval,2.1748303,41.3756297,430997.133,4580785.284,2000/01/01,
8156109,255000000_Pastilla,26.80,1,Ciutat Vella,1,el Raval,2.1703999,41.3776992,430628.861,4581018.633,2000/01/01,2009/08/31
8156097,255000000_Pastilla,24.90,1,Ciutat Vella,1,el Raval,2.1705580,41.3776990,430642.077,4581018.510,2000/01/01,2009/08/31
8156093,255000000_Pastilla,6.03,1,Ciutat Vella,1,el Raval,2.1708433,41.3758056,430663.920,4580807.995,2000/01/01,2009/08/31
8151694,255000000_Pastilla,4.49,1,Ciutat Vella,1,el Raval,2.1701941,41.3803851,430614.503,4581316.970,2000/01/01,
8151689,255000000_Pastilla,10.09,1,Ciutat Vella,1,el Raval,2.1696578,41.3802794,430569.540,4581305.670,2000/01/01,
8151379,255000000_Pastilla,17.39,1,Ciutat Vella,1,el Raval,2.1655307,41.3804043,430224.587,4581322.816,2000/01/01,2018/03/25
8155810,255000000_Pastilla,4.54,1,Ciutat Vella,1,el Raval,2.1642415,41.3790135,430115.300,4581169.447,2000/01/01,
8151686,255000000_Pastilla,5.92,1,Ciutat Vella,1,el Raval,2.1697595,41.3802633,430578.030,4581303.840,2000/01/01,
8161007,255000000_Pastilla,44.96,1,Ciutat Vella,1,el Raval,2.1772247,41.3763151,431198.095,4580859.542,2000/01/01,2009/08/31
8155806,255000000_Pastilla,6.07,1,Ciutat Vella,1,el Raval,2.1638596,41.3789535,430083.300,4581163.120,2000/01/01,2009/06/03
8155798,255000000_Pastilla,3.01,1,Ciutat Vella,1,el Raval,2.1658536,41.3788005,430249.860,4581144.570,2000/01/01,2016/08/21
8151683,255000000_Pastilla,5.93,1,Ciutat Vella,1,el Raval,2.1696254,41.3802287,430566.780,4581300.073,2000/01/01,
8160994,255000000_Pastilla,32.55,1,Ciutat Vella,1,el Raval,2.1766403,41.3760634,431148.961,4580832.044,2000/01/01,2009/08/31
8160986,255000000_Pastilla,19.71,1,Ciutat Vella,1,el Raval,2.1767881,41.3765314,431161.810,4580883.879,2000/01/01,
8160976,255000000_Pastilla,13.19,1,Ciutat Vella,1,el Raval,2.1737358,41.3751678,430905.131,4580734.861,2000/01/01,
